room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
1543097,6979198,Entire home/apt,Camden,Bloomsbury,7,5,4,1,303,1,51.521218,-0.138745,16:30.6
1543875,7121772,Private room,Lewisham,Crofton Park,0,,2,1,104,2,51.45331,-0.035093,45:34.8
1543904,5731681,Entire home/apt,Merton,Colliers Wood,2,5,2,1,170,1,51.419944,-0.174409,06:47.9
1544287,7632303,Private room,Westminster,Little Venice,1,5,2,1,132,1,51.527101,-0.181959,02:59.1
1544925,8233115,Entire home/apt,Haringey,Crouch End,5,4.5,2,1,208,1,51.57909,-0.125234,58:21.8
1545136,2376586,Private room,Westminster,Regent's Park,7,5,1,1,123,14,51.526503,-0.162536,53:37.1
1545382,7233530,Entire home/apt,Camden,Kilburn,1,4.5,6,3,227,3,51.537454,-0.191497,26:26.7
1545466,8235991,Private room,Lambeth,Thurlow Park,0,,16,1,95,1,51.437128,-0.101766,19:36.3
1545575,8236489,Entire home/apt,Hammersmith and Fulham,North End,10,5,4,2,312,3,51.485728,-0.209878,24:50.9
1545596,8236657,Entire home/apt,Lambeth,Brixton Hill,2,4.5,3,1,142,1,51.444979,-0.122372,25:33.4
1545690,1586544,Private room,Westminster,Warwick,1,5,4,1,189,2,51.489994,-0.14117,50:38.8
1545845,8237976,Private room,Kensington and Chelsea,St. Helen's,0,,2,1,189,3,51.521474,-0.213435,05:25.5
1545978,8238654,Entire home/apt,Westminster,Little Venice,2,5,2,1,189,4,51.521041,-0.178008,19:39.3
1546238,4656211,Private room,Newham,Green Street West,15,4.5,2,1,42,1,51.542682,0.028382,30:36.0
1546247,8237403,Entire home/apt,Merton,Raynes Park,8,5,2,1,167,3,51.410441,-0.234229,58:08.5
1548698,8251348,Private room,Islington,Finsbury Park,0,,2,1,57,1,51.563294,-0.114817,51:02.0
1548785,8251680,Private room,Lambeth,Thornton,0,,1,1,87,3,51.445161,-0.13269,55:54.0
1548874,1030040,Entire home/apt,Southwark,Rotherhithe,5,4.5,2,1,161,2,51.491907,-0.047222,03:13.5
1548974,8252468,Private room,Lambeth,Brixton Hill,1,5,2,1,47,7,51.454558,-0.127016,48:42.2
1549452,8254409,Entire home/apt,Croydon,Purley,0,,12,,946,7,51.337846,-0.140383,10:14.1
1549730,8255337,Private room,Wandsworth,Graveney,2,4.5,2,1,161,1,51.425407,-0.166586,14:14.9
1550142,2276989,Entire home/apt,Southwark,Brunswick Park,12,4.5,2,,132,2,51.474419,-0.085444,29:56.3
1550335,3649627,Entire home/apt,Islington,Bunhill,9,5,2,1,203,7,51.525784,-0.097276,33:43.4
1550390,7644180,Entire home/apt,Lambeth,Bishop's,6,4.5,7,,377,2,51.506437,-0.108007,09:08.0
1550441,2430961,Entire home/apt,Hackney,Hoxton East & Shoreditch,4,4,2,1,150,2,51.53329,-0.081874,30:20.1
1550448,8257879,Entire home/apt,Southwark,Cathedrals,18,5,2,1,303,2,51.506538,-0.088844,52:39.2
1550545,7644180,Entire home/apt,Southwark,Cathedrals,5,4,7,2,312,2,51.507891,-0.107984,25:58.9
1550598,477179,Private room,Haringey,Crouch End,13,4.5,2,1,114,1,51.580439,-0.134141,55:09.6
1551262,8262147,Entire home/apt,Southwark,Newington,0,,1,,85,1,51.485276,-0.10706,03:06.9
1551310,3266109,Private room,Westminster,Hyde Park,13,5,2,1,151,1,51.516678,-0.17811,16:45.4
1551403,2532850,Entire home/apt,Haringey,Hornsey,1,4.5,4,1,170,2,51.580876,-0.117493,39:36.9
1551846,3234010,Private room,Hackney,Hackney Downs,3,5,2,1,57,3,51.555675,-0.067431,24:11.3
1553109,2817408,Private room,Hackney,Hoxton East & Shoreditch,8,4.5,3,1,99,4,51.534778,-0.077713,36:59.7
1553359,687943,Entire home/apt,Hammersmith and Fulham,Hammersmith Broadway,0,,4,3,339,7,51.495658,-0.228846,19:46.6
1553607,8273169,Entire home/apt,Wandsworth,Balham,0,,2,2,227,1,51.450261,-0.145283,56:56.0
1554492,8276861,Shared room,Lewisham,Crofton Park,0,,4,1,138,1,51.450372,-0.034617,24:54.2
1554758,6581371,Private room,Kensington and Chelsea,Norland,0,,4,1,123,2,51.512944,-0.209792,52:13.1
1554793,7117894,Private room,Islington,St. George's,12,4.5,2,1,85,1,51.5561,-0.125883,30:37.6
1554893,1911079,Private room,Westminster,Abbey Road,3,5,1,1,132,1,51.530978,-0.180993,13:29.1
1555075,2354200,Private room,Tower Hamlets,Whitechapel,1,5,2,1,95,1,51.510473,-0.061122,45:40.1
1555216,8279850,Private room,Kensington and Chelsea,Golborne,7,5,1,1,85,3,51.519135,-0.208391,26:40.9
1555435,8250324,Private room,Islington,Finsbury Park,2,5,2,1,95,3,51.561003,-0.108335,39:34.6
1555719,8282154,Private room,Wandsworth,Balham,0,,1,1,151,1,51.448922,-0.147924,58:36.1
1556051,5638451,Entire home/apt,Tower Hamlets,Spitalfields & Banglatown,6,4,5,1,150,3,51.519362,-0.069986,28:53.3
1556489,8286088,Private room,Hammersmith and Fulham,Munster,0,,2,1,114,2,51.480365,-0.214386,04:23.7
1556500,2827088,Private room,Lambeth,Oval,0,,7,1,284,1,51.485391,-0.112427,37:00.3
1556547,7038124,Private room,Hackney,Hackney Central,4,4.5,2,1,104,1,51.544407,-0.060731,44:03.3
